Student Code Name,IEP Goal with Student Code Name,Student Code IEP Goal Code,Measurement Type,Class,Goal Area,Case Manager,Teacher to Collect Data,Teacher to Collect Data Email Address,IEP Due,Eval Due
S005,"S005 will increase his Reading Comprehension by solving comprehension questions requiring higher-order thinking skills (such as inferencing, evaluating, and analyzing) with 80% accuracy by the next annual IEP review.",S005.11.2,Percent,Language Arts 3 SC,Reading Comprehension,Jessica Bruno,Dan Reinisch,danielreinisch@winfieldriv.us,2/18/26,3/9/2026
S006,"S006 will improve his ability to focus on classroom tasks, reducing off-task behaviors such as fidgeting and losing focus, demonstrating self-regulation by staying on task for increasingly longer duration's in 4 out of 5 observed sessions.",S006.11.1,x/y,Language Arts 3 SC,Behavior,Dan Reinisch,Dan Reinisch,danielreinisch@winfieldriv.us,11/7/2025,5/1/2028
S006,"In the area of Math Calculation, S006 will increase his ability to connect and apply math concepts (such as geometry and algebra) by demonstrating mastery in solving integrated multi-step problems involving these topics with 60% accuracy, by the next annual IEP review.",S006.11.2,Percent,Consumer Math,Math Calculation,Dan Reinisch,Ronald Fosdyck,ronaldfosdyck@winfieldriv.us,11/7/2025,5/1/2028
S006,S006 will improve his ability to identify relevant textual evidence that supports the theme(s) or central idea of a text and explain how that evidence contributes to the development of the theme(s) or central idea in 4 out of 5 trials by the next annual IEP review.,S006.11.3,Percent,Language Arts 3 SC,Reading Comprehension,Dan Reinisch,Dan Reinisch,danielreinisch@winfieldriv.us,11/7/2025,5/1/2028
S006,"In the area of Written Expression, S006 will improve his ability to write a clear, organized response by including a main idea, supporting details, and a conclusion sentence that reinforces his claims, demonstrating understanding of the literary elements listed above with 45% accuracy by the next annual IEP review.",S006.11.4,Percent,Language Arts 3 SC,Written Expression,Dan Reinisch,Dan Reinisch,danielreinisch@winfieldriv.us,11/7/2025,5/1/2028
S007,"S007 will increase his Basic Reading skills by identifying high-frequency and irregular words in context. Given sentences from class readings with a missing word, Lothar will select the correct word with 85% by the next annual IEP review
",S007.11.1,Percent,Language Arts 3 SC,Basic Reading,Dan Reinisch,Dan Reinisch,danielreinisch@winfieldriv.us,2/26/2026,2/20/2027
S007,"S007 will increase his basic reading skills by breaking down unknown words into prefix, suffix, and root words with 70% accuracy by the next annual IEP review.",S007.11.2,Percent,Language Arts 3 SC,Basic Reading,Dan Reinisch,Dan Reinisch,danielreinisch@winfieldriv.us,2/26/2026,2/20/2027
S008,"In the area of Reading Comprehension, S008 will increase her ability to retell a short story or passage (at her instructional reading level) with these objectives (a) at least three key details to support the main idea and in the (b) correct sequence with 70% accuracy by the next annual IEP review.",S008.11.2,Percent,Language Arts 3 SC,Reading Comprehension,Dan Reinisch,Dan Reinisch,danielreinisch@winfieldriv.us,2/5/2026,9/3/2028
S008,"In the area of Written Expression, S008 increase her ability to write a 3–5 sentence structured response (e.g., a summary, personal response, or simple paragraph) that includes at least two key details, appropriate grammar, and correct capitalization and punctuation with 70% accuracy by the next annual IEP review.",S008.11.3,Percent,Language Arts 3 SC,Written Expression,Dan Reinisch,Dan Reinisch,danielreinisch@winfieldriv.us,2/5/2026,9/3/2028
S008,"In the area of Life Skills Transition, S008 will improve life skills through demonstrating increased perspective-taking/self-advocacy skills when provided with hypothetical/real-life social scenarios concerning safe/unsafe internet and social media usage with 80% accuracy and when provided minimal cues by the next annual IEP review.",S008.11.4,Percent,Life Skills,Life Skills Transition,Dan Reinisch,Dan Reinisch,danielreinisch@winfieldriv.us,2/5/2026,9/3/2028
S009,"S009 will increase his basic reading skills by breaking down unknown words into prefixes, suffixes and root words with 72% accuracy by the next annual IEP review.",S009.11.1,Percent,Language Arts 3 SC,Basic Reading,Sara Koelsch,Dan Reinisch,danielreinisch@winfieldriv.us,2/19/2026,3/18/2028
S009,S009 will increase his reading comprehension skills by answering literal and inferential questions with 80% accuracy by the next annual IEP review.,S00911.2,Percent,Language Arts 3 SC,Reading Comprehension,Sara Koelsch,Dan Reinisch,danielreinisch@winfieldriv.us,2/19/2026,3/18/2028
S009,S009-Writing: Topic/Claim,S009.11.4-1,Percent,Language Arts 3 SC,Written Expression,Sara Koelsch,Dan Reinisch,danielreinisch@winfieldriv.us,2/19/2026,3/18/2028
S009,S009-Writing: Three Supporting Details,S009.11.4-2,Percent,Language Arts 3 SC,Written Expression,Sara Koelsch,Dan Reinisch,danielreinisch@winfieldriv.us,2/19/2026,3/18/2028
S009,S009-Writing: Conclusion,S009.11.4-3,Percent,Language Arts 3 SC,Written Expression,Sara Koelsch,Dan Reinisch,danielreinisch@winfieldriv.us,2/19/2026,3/18/2028
S010,"In the area of Reading Comprehension, S010 will increase his reading comprehension skills by summarizing/retelling and making inferences from the text with 60% accuracy by the next annual IEP review.",S010.11.1,Percent,Language Arts 3 SC,Reading Comprehension,Sara Koelsch,Dan Reinisch,danielreinisch@winfieldriv.us,3/20/2026,12/7/2026
S010,"In the area of Written Expression, when given exercises in grammar and written assignments, S010 will be able to construct a grammatically correct sentence(s) with subject-verb agreement, prefixes, and suffixes with 80% accuracy by the next annual IEP review.",S010.11.2,Percent,Language Arts 3 SC,Written Expression,Sara Koelsch,Dan Reinisch,danielreinisch@winfieldriv.us,3/20/2026,12/7/2026
S011,S011 will increase his reading comprehension Skills by identifying and explaining the use of figurative and literal language in a passage of text with 75% accuracy by the end of this IEP period.,S011.12.1,Percent,Language Arts 4 SC,Reading Comprehension,Kathie Tate,Dan Reinisch,danielreinisch@winfieldriv.us,3/19/2026,10/1/2028
S011,S011 will increase his Written Expression Skills by writing a paragraph/response to a question/prompt using a topic sentence that reiterates the question/prompt and utilizing transition words with 75% accuracy by the end of this IEP period.,S011.12.2,Percent,Language Arts 4 SC,Written Expression,Kathie Tate,Dan Reinisch,danielreinisch@winfieldriv.us,3/19/2026,10/1/2028
S012,"In the area of Basic Reading, when given a list of 10 vocabulary words, S012 will correctly define and write them in a sentence with 80% accuracy by the next annual IEP review.",S012.12.2,Percent,Language Arts 4 SC,Basic Reading,Sara Koelsch,Dan Reinisch,danielreinisch@winfieldriv.us,5/22/2026,9/23/2028
S012,S012 will increase her Reading Fluency by clearly and accurately reading 100 words with fewer than 5 errors with a 80% accuracy by the next annual IEP review.,S012.12.3,Percent,Language Arts 4 SC,Reading Fluency,Sara Koelsch,Dan Reinisch,danielreinisch@winfieldriv.us,5/22/2026,9/23/2028
S012,"S012 will increase her reading comprehension skills, when presented with text and when reading short story, poems, novels, etc. to be able to demonstrate comprehension of literary material by answering comprehension questions pertaining to the material with 80% accuracy by the next IEP review.",S012.12.4,Percent,Language Arts 4 SC,Reading Comprehension,Sara Koelsch,Dan Reinisch,danielreinisch@winfieldriv.us,5/22/2026,9/23/2028
S012,"S012 will increase her written expression skills, given writing prompts or a given topic, S012 will write sentences using correct subject/verb agreement and she will be able to edit, re-write and correct sentences for clarity and understanding with 70% accuracy by the next IEP review.",S012.12.5,Percent,Language Arts 4 SC,Written Expression,Sara Koelsch,Dan Reinisch,danielreinisch@winfieldriv.us,5/22/2026,9/23/2028
S012,"S012 will demonstrate improved time management skills in the kitchen by independently planning, preparing, and completing cooking tasks within designated time frames, achieving 80% accuracy as measured by teacher observation",S012.12.6,Percent,Life Skills SC,Life Skills Transition,Sara Koelsch,Dan Reinisch,danielreinisch@winfieldriv.us,5/22/2026,9/23/2028
S013,S013 will increase his written expression skills by writing paragraphs with three or more details supporting his thesis/claim/topic sentence measured by 70% by the next annual IEP.,S013.12.1,Percent,Language Arts 4 SC,Written Expression,Sara Koelsch,Dan Reinisch,danielreinisch@winfieldriv.us,4/3/2026,2/8/2027
S014,"In the area of Reading Comprehension, S014 will increase his skills by making inferences from text with 90% accuracy by the next annual IEP.",S014.12.1,Percent,Language Arts 4 SC,Reading Comprehension,Sara Koelsch,Dan Reinisch,danielreinisch@winfieldriv.us,11/18/2025,2/1/2027
S014,"In the area of Written Expression, S014 will increase these skills by using subjects and verbs accurately in writing assignments by 90% accuracy by his next annual IEP review.",S014.12.2,Percent,Language Arts 4 SC,Written Expression,Sara Koelsch,Dan Reinisch,danielreinisch@winfieldriv.us,11/18/2025,2/1/2027
S015,Reading Skills: read and follow directions with a 65% accuracy,S015.11.1-1,Percent,Life Skills Language Arts SC,Life Skills Reading Skills,Jessica Bruno,Dan Reinisch,danielreinisch@winfieldriv.us,12/8/2025,2/20/2026
S015,Reading Skills: answer questions about what is happening in a picture or reading passage with 70% accuracy,S015.11.1-2,Percent,Life Skills Language Arts SC,Life Skills Reading Skills,Jessica Bruno,Dan Reinisch,danielreinisch@winfieldriv.us,12/8/2025,2/20/2026
S015,Reading Skills: answer questions about why something is happening in a picture or reading passage with a 65% accuracy,S015.11.1-3,Percent,Life Skills Language Arts SC,Life Skills Reading Skills,Jessica Bruno,Dan Reinisch,danielreinisch@winfieldriv.us,12/8/2025,2/20/2026
S015,Writing Skills: Write a sentence describing what is happening in a picture with 45% accuracy,S015.11.2-1,Percent,Life Skills Language Arts SC,Life Skills Writing Skills,Jessica Bruno,Dan Reinisch,danielreinisch@winfieldriv.us,12/8/2025,2/20/2026
S015,Writing Skills: write up to 3 sentences answering questions about a text he has read.,S015.11.2-2,Percent,Life Skills Language Arts SC,Life Skills Writing Skills,Jessica Bruno,Dan Reinisch,danielreinisch@winfieldriv.us,12/8/2025,2/20/2026
S015,Life Skills: S015 will demonstrate the ability to identify the parts of a recipe on 5 of 7 opportunities,S015.11.4-1,Percent,Life Skills SC,Life Skills Transition,Jessica Bruno,Dan Reinisch,danielreinisch@winfieldriv.us,12/8/2025,2/20/2026
S015,Life Skills: S015 will demonstrate the ability to follow the recipe when cooking on 5 of 6 opportunities.,S015.11.4-2,Percent,Life Skills SC,Life Skills Transition,Jessica Bruno,Dan Reinisch,danielreinisch@winfieldriv.us,12/8/2025,2/20/2026
S016,"In the area of Basic Reading, S016 will identify, read, and define unfamiliar vocabulary words from the text by 65% accuracy by the next annual IEP review.",S016.11.1,Percent,Life Skills Language Arts SC,Basic Reading,Sara Koelsch,Dan Reinisch,danielreinisch@winfieldriv.us,8/6/2026,5/18/2028
S016,"Reading Comp: S016 will make logical inferences about characters, setting, or events by using text evidence.",S016.11.2-1,Percent,Life Skills Language Arts SC,Reading Comprehension,Sara Koelsch,Dan Reinisch,danielreinisch@winfieldriv.us,8/6/2026,5/18/2028
S016,Reading Comp: S016 will identify key events in the text and explain what can be concluded based on the text/novel.,S016.11.2-2,Percent,Life Skills Language Arts SC,Reading Comprehension,Sara Koelsch,Dan Reinisch,danielreinisch@winfieldriv.us,8/6/2026,5/18/2028
S016,Written Expression: Create a Main Idea,S016.11.3-1,Percent,Life Skills Language Arts SC,Written Expression,Sara Koelsch,Dan Reinisch,danielreinisch@winfieldriv.us,8/6/2026,5/18/2028
S016,Written Expression: Add at least two supporting details,S016.11.3-2,Percent,Life Skills Language Arts SC,Written Expression,Sara Koelsch,Dan Reinisch,danielreinisch@winfieldriv.us,8/6/2026,5/18/2028
S016,Written Expression: Write a conclusion sentence,S016.11.3-3,Percent,Life Skills Language Arts SC,Written Expression,Sara Koelsch,Dan Reinisch,danielreinisch@winfieldriv.us,8/6/2026,5/18/2028
S017,S017 will increase his basic reading skills by reading a recipe to identify and retrieve appropriate foods/ingredients according to recipe with 80% accuracy by the life if the IEP cycle.,S017.9.1,Percent,Life Skills Language Arts SC,Basic Reading,Jessica Bruno,Dan Reinisch,danielreinisch@winfieldriv.us,4/6/2026,4/3/2027
S017,S017 will increase his written expression skills by using a combination of speech to text and typing on the Chromebook to write 3 complete sentences about a topic with ending punctuation with 80% accuracy as measured by work samples by the life of this IEP cycle.,S017.9.2,Percent,Life Skills Language Arts SC,Written Expression,Jessica Bruno,Dan Reinisch,danielreinisch@winfieldriv.us,4/6/2026,4/3/2027
S018,S018 will independently read and identify materials/supplies needed to complete the recipe given with 80% accuracy by the life of this IEP.,S018.9.1,Percent,Life Skills Language Arts SC,Basic Reading,Jessica Bruno,Dan Reinisch,danielreinisch@winfieldriv.us,12/15/2025,1/25/2026
S018,"S018 will answer comprehension questions about a recipe with the support of an adult with 80% accuracy by the life of this IEP.
",S018.9.2,Percent,Life Skills Language Arts SC,Reading Comprehension,Jessica Bruno,Dan Reinisch,danielreinisch@winfieldriv.us,12/15/2025,1/25/2026
S018,"S018 will increase his written expression by writing or typing his personal information (name, address, date of birth, and phone number) with 80% accuracy by the life of this IEP cycle.",S018.9.3,Percent,Life Skills Language Arts SC,Written Expression,Jessica Bruno,Dan Reinisch,danielreinisch@winfieldriv.us,12/15/2025,1/25/2026
S019,"In the area of Reading Comprehension, S019 will increase her ability to read and summarizes a given passage with 80% accuracy by the next annual IEP review date.",S019.10.1,Percent,Life Skills Language Arts SC,Reading Comprehension,Sara Koelsch,Dan Reinisch,danielreinisch@winfieldriv.us,10/6/2026,9/30/2027
S019,"In the area of Written Expression, S019 will increase her skills in writing a paragraph with a topic sentence, supporting details and conclusion with 80% accuracy by the next annual IEP.",S019.10.2,Percent,Life Skills Language Arts SC,Written Expression,Sara Koelsch,Dan Reinisch,danielreinisch@winfieldriv.us,10/6/2026,9/30/2027
S019,"In the area of Life Skills Transition, S019 will increase her social skills by identifying what others personal boundaries might look like with 50% accuracy by the next Annual IEP.",S019.10.4,Percent,Life Skills SC,Life Skills Transition,Sara Koelsch,Dan Reinisch,danielreinisch@winfieldriv.us,10/6/2026,9/30/2027
S020,"S020 will increase his Life Skills Writing skills by practicing copying personal information (name, phone number, etc.) and copy simple sentences (I want ________) with a 50% accuracy by the end of the IEP period.",S020.12.3,Percent,Life Skills Language Arts SC,Life Skills Writing Skills,Jessica Bruno,Dan Reinisch,danielreinisch@winfieldriv.us,2/10/2026,8/21/2028
S020,"S020 will increase his readiness skills by practicing organizational skills (matching, sorting, etc) with a 50% accuracy, by the end of this IEP period.",S020.12.1,Percent,Life Skills SC,Life Skills,Jessica Bruno,Dan Reinisch,danielreinisch@winfieldriv.us,2/10/2026,8/21/2028
S020,S020 will increase his readiness skills assembling bags of supplies ( 1 each of 5 items) with a 50% accuracy by the end of this IEP period.,S020.12.2,Percent,Life Skills SC,Life Skills,Jessica Bruno,Dan Reinisch,danielreinisch@winfieldriv.us,2/10/2026,8/21/2028
S020,"S020 will increase his Life Skills Transition Skills by practicing gathering and organizing supplies from a list of household items needed to complete a task (cooking, laundry, etc.) with a 50% accuracy by the end of this IEP period.",S020.12.4,Percent,Life Skills SC,Life Skills,Jessica Bruno,Dan Reinisch,danielreinisch@winfieldriv.us,2/10/2026,8/21/2028
S022,S022 will increase his reading comprehension skills by using context clues to understand the meaning of a text with 80% accuracy by the end of this IEP period.,S022.12.1,Percent,Life Skills Language Arts SC,Reading Comprehension,Kathie Tate,Dan Reinisch,danielreinisch@winfieldriv.us,5/7/2026,5/7/2028
S022,S022 will increase his written expression skills by independently writing a grammatically correct paragraph using a topic sentence and supporting details with 80% accuracy by the end of this IEP period.,S022.12.2,Percent,Life Skills Language Arts SC,Written Expression,Kathie Tate,Dan Reinisch,danielreinisch@winfieldriv.us,5/7/2026,5/7/2028
S023,S023 will increase her reading comprehension skills by using context clues to understand the meaning of a text with 70% accuracy by the end of this IEP period.,S023.10.1,Percent,Life Skills Language Arts SC,Reading Comprehension,Kathie Tate,Dan Reinisch,danielreinisch@winfieldriv.us,9/18/2026,3/21/2027
S023,S023 will increase her written expression skills by formulating and writing complete sentences with 65% accuracy by the end of this IEP period.,S023.10.2,Percent,Life Skills Language Arts SC,Written Expression,Kathie Tate,Dan Reinisch,danielreinisch@winfieldriv.us,9/18/2026,3/21/2027
S023,S023 will increase her life skills by preparing a dish by following the directions with 65% accuracy with 2 or fewer prompts by the end of the IEP cycle.,S023.10.4,Percent,Life Skills SC,Life Skills Transition,Kathie Tate,Dan Reinisch,danielreinisch@winfieldriv.us,9/18/2026,3/21/2027
S024,S024 will increase his his awareness of proper verbal responses during supervised unstructured social situations 4 out of 5 interactions by the next annual IEP review date.,S024.9.1,Percent,Language Arts 1 SC,Social Skills,Dan Reinisch,Dan Reinisch,danielreinisch@winfieldriv.us,10/15/2026,4/16/2028
S024,S024 will increase his reading comprehension skills by responding to comprehension questions with supports details with 70% accuracy by the next annual IEP review date.,S024.9.2,Percent,Language Arts 1 SC,Reading Comprehension,Dan Reinisch,Dan Reinisch,danielreinisch@winfieldriv.us,10/15/2026,4/16/2028
S024,S024 will increase his math problem solving skills by solving multiple step problems involving the use of decimals with 70% accuracy by the next annual IEP review date.,S024.9.3,Percent,Language Arts 1 SC,Math Problem Solving,Dan Reinisch,Sara Koelsch,sarakoelsch@winfieldriv.us,10/15/2026,4/16/2028
S025,"S025 will increase her reading comprehension skills by independently reading a grade level passage and answer comprehension questions identifying the main idea, inferencing and summarizing the passage with 80% accuracy by the life of this IEP.",S025.9.1,Percent,Language Arts 1 SC,Reading Comprehension,Kathie Tate,Dan Reinisch,danielreinisch@winfieldriv.us,4/15/2026,9/12/2026
S026,S026 will increase his reading comprehension skills by answering inferencing and conclusion questions with 80% accuracy by the life life of this IEP.,S026.9.1,Percent,Language Arts 1 SC,Reading Comprehension,Kathie Tate,Dan Reinisch,danielreinisch@winfieldriv.us,4/27/2026,1/23/2026
S026,S026 will increase his written skills goal by able to write a paragraph with introduction, details and conclusion with 80% accuracy by the life of the IEP.,S026.9.2,Percent,Language Arts 1 SC,Written Expression,Kathie Tate,Dan Reinisch,danielreinisch@winfieldriv.us,4/27/2026,1/23/2026
S027,S027 will increase the incidents of using self-management skills to regulate and return to a given task 2 out of 4 situations by the next annual IEP review.,S027.9.1,Percent,Language Arts 1 SC,Social Skills,Dan Reinisch,Dan Reinisch,danielreinisch@winfieldriv.us,10/5/2026,9/18/2027
S027,S027 will increase her written expression skills by writing an essay with an introductory paragraph with main ideas with 3 body paragraphs 3 out of 4 samples by the next annual IEP date.,S027.9.2,Percent,Language Arts 1 SC,Written Expression,Dan Reinisch,Dan Reinisch,danielreinisch@winfieldriv.us,10/5/2026,9/18/2027
S028,S028 will increase her reading comprehension skills by identifying supports when responding to inferencing questions on instructional level text read independently with 80% accuracy by the next annual IEP review.,S028.9.1,Percent,Language Arts 1 SC,Reading Comprehension,Jessica Bruno,Dan Reinisch,danielreinisch@winfieldriv.us,4/26/2026,11/12/2027
S031,S031 will increase his writing by using evidence and citing his writing with 45% accuracy by the end of the IEP cycle.,S031.10.1,Percent,Language Arts 2 SC,Written Expression,Dan Reinisch,Dan Reinisch,danielreinisch@winfieldriv.us,11/7/2025,10/31/2026
S031,S031 will increase his math calculation skills by using order of operations to solve mathematical equations with 80% accuracy by the end of the IEP cycle.,S031.10.2,Percent,Consumer Math,Math Calculation,Dan Reinisch,Ronald Fosdyck,ronaldfosdyck@winfieldriv.us,11/7/2025,10/31/2026
S032,S032 will increase his reading comprehension by identifying what the question is asking by restating the question with 60% accuracy by the life of this IEP.,S032.10.1,Percent,Language Arts 2 SC,Reading Comprehension,Sara Koelsch,Dan Reinisch,danielreinisch@winfieldriv.us,2/14/2026,4/2/2027
S032,S032 will increase his written expression skills by writing 1 paragraph summary of a text including the main idea and one supporting detail with 60% accuracy by the life of this IEP.,S032.10.2,Percent,Language Arts 2 SC,Written Expression,Sara Koelsch,Dan Reinisch,danielreinisch@winfieldriv.us,2/14/2026,4/2/2027
S033,S033 will increase his skills in reading comprehension by making inference's with 80% accuracy by the next annual IEP.,S033.10.1,Percent,Language Arts 2 SC,Reading Comprehension,Dan Reinisch,Dan Reinisch,danielreinisch@winfieldriv.us,5/5/2026,5/4/2028
S033,S033 will increase his math skills by Using Graphic Organizers to sequence and solve the mathematical problems in a logical manner with 80% accuracy by the next IEP cycle baseline 70%,S033.10.2,Percent,Consumer Math,Reading Comprehension,Dan Reinisch,Ronald Fosdyck,ronaldfosdyck@winfieldriv.us,5/5/2026,5/4/2028
S033,S033 will increase his skills in reading comprehension by using context clues to determine the meaning of context clues to determine the meaning of unknown words with 80% accuracy by the next IEP cycle.,S033.10.3,Percent,Language Arts 2 SC,Reading Comprehension,Dan Reinisch,Dan Reinisch,danielreinisch@winfieldriv.us,5/5/2026,5/4/2028
S033,S033 will state synonyms and antonyms of given words with 80% accuracy.,S033.10.4,Percent,Speech/Language,Language,Dan Reinisch,Craig Hartman / Olivia Jordan,"craighartman@winfield.k12.mo.us, oliviajordan@winfieldriv.us",5/5/2026,5/4/2028
S033,S033 will provide appropriate definitions of words when given a homophone word pair with 80% accuracy.,S033.10.5,Percent,Speech/Language,Language,Dan Reinisch,Craig Hartman / Olivia Jordan,"craighartman@winfield.k12.mo.us, oliviajordan@winfieldriv.us",5/5/2026,5/4/2028
S035,"S035 will increase his behavior skills by completing the objectives below with 70% accuracy by the next annual IEP review.
1) Follow a reasonable request when asked by an adult. Baseline - 25%
2) Raising hand to speak in class. Baseline - 43%
3) Staying in assigned seat unless given permission. Baseline - 43%",S035.10.1,Percent,Warrior Academy,Behavior,Dan Reinisch,"Stokes, Jamie M, Noah, Dylan K, Whiteman, Scott","jamiestokes@winfieldriv.us, dylannoah@winfieldriv.us, scottwhiteman@winfieldriv.us",3/11/2026,2/1/2026
S036,S036 will increase his written expression skills by writing multiple paragraphs with transitions and conclusion sentences with 70% accuracy by the next annual IEP review.,S036.10.1,Percent,Language Arts 2 SC,Written Expression,Dan Reinisch,Jackie Naylor,jacquelynnaylor@winfieldriv.us,2/25/2026,11/14/2027
S036,S036 will increase his reading comprehension skills by providing text evidence to support conclusions with 70% accuracy by the next annual IEP review.,S036.10.2,Percent,Language Arts 2 SC,Reading Comprehension,Dan Reinisch,Jackie Naylor,jacquelynnaylor@winfieldriv.us,2/25/2026,11/14/2027
S038,"By the end of the IEP cycle, S038 will maintain behavior by managing conflicts on 80% of instances by the next annual IEP review.",S038.9.1,Percent,Language Arts 3 SC,Behavior,Kathie Tate,Dan Reinisch,danielreinisch@winfieldriv.us,9/29/2026,11/15/2026
S039,"S039 will increase reading comprehension skills by completing the following objectives with an average of 80% accuracy by the end of the IEP period.

1. Answering questions that ask for text summaries from grade level text. Baseline 57%

2. Answering inference based questions from reading material. Baseline 48%

3. Utilize reading comprehension strategies such as underlining key words in questions, underlying/highlighting details in reading, highlighting/underline and ask/look up meaning of unfamiliar words in text, and annotating text and stories.",S039.11.2,Percent,Language Arts 3 SC,Reading Skills,Kathie Tate,Dan Reinisch,danielreinisch@winfieldriv.us,2/23/2026,2/12/2026
S039,"S039 will increase his written expression skills by writing a response utilizing story mappings, topic webbings, and/or writing rubrics with a topic sentence, supporting details and a conclusion with 80% accuracy by the of this IEP period. Baseline: 65%",S039.11.3,Percent,Language Arts 3 SC,Written Expression,Kathie Tate,Dan Reinisch,danielreinisch@winfieldriv.us,2/23/2026,2/12/2026
S040,"S040 will increase his writing skills by composing a cohesive, organized paragraph with a clear topic sentence, supporting details with evidence, and a concluding sentence with 80% accuracy by the end of the IEP cycle",S040.10.1,Percent,Language Arts 1 SC,Written Expression,Dan Reinisch,Dan Reinisch,danielreinisch@winfieldriv.us,11/30/2026,11/9/2028
S040,"S040 will increase his problem-solving skills by accurately solving multi-step math problems or multi-step operations involving addition, subtraction, multiplication, and/or division by identifying relevant information, selecting appropriate operations, and executing each step in sequence with 80% accuracy by the end of the IEP cycle",S040.10.2,Percent,Language Arts 1 SC,Math Problem Solving,Dan Reinisch,Sara Koelsch,sarakoelsch@winfieldriv.us,11/30/2026,11/9/2028
S041,"S041 will increase her written expression skills by writing a paragraph with a topic sentence, three supporting details and conclusion with 70% accuracy by the next annual IEP review.",S041.9.1,Percent,Language Arts 1 SC,Written Expression,Dan Reinisch,Dan Reinisch,danielreinisch@winfieldriv.us,11/4/2026,11/4/2028
S042,S042 will increase her reading comprehension skills by independently answering inferencing questions related to a passage with 80% accuracy by the end of this IEP.,S042.9.1,Percent,Language Arts 1 SC,Reading Comprehension,Jessica Bruno,Dan Reinisch,danielreinisch@winfieldriv.us,12/8/2026,4/5/2026
